celebrity_name,ballroom_partner,season,yt_video_id,yt_video_title,yt_channel_title,yt_view_count,yt_like_count,yt_comment_count,yt_publish_date,is_official_channel,confidence_score,query_used,crawl_timestamp
Victoria Arlen,Valentin Chmerkovskiy,25,eTT3DdN8_0Q,DWTS’ Victoria Arlen On Being Trapped In Her Paralyzed Body | PeopleTV,People,9866,47,7,2017-11-01T22:59:48Z,False,25,"""Victoria Arlen""",2026-01-31T14:19:25.396499
Victoria Arlen,Valentin Chmerkovskiy,25,GQ-zkKgupGY,Victoria Arlen and Val's Tango (Week 02) - Dancing with the Stars Season 25!,DWTS DANCES,1923,23,1,2022-07-08T02:46:48Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.396499
Victoria Arlen,Valentin Chmerkovskiy,25,7DGgna_-Lzg,Victoria Arlen and Val's Contemporary (Week 09) - Dancing with the Stars Season 25!,DWTS DANCES,1773,15,2,2022-07-08T03:03:31Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.397796
Victoria Arlen,Valentin Chmerkovskiy,25,dbIbpwwb1tc,Victoria Arlen and Val's Charleston (Week 09) - Dancing with the Stars Season 25!,DWTS DANCES,2371,20,3,2022-07-08T03:06:04Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.398795
Victoria Arlen,Valentin Chmerkovskiy,25,eSuDC6QMMw8,Victoria Arlen Speaks on ‘DWTS’ Injury,extratv,2325,16,1,2017-11-07T23:37:27Z,False,25,"""Victoria Arlen""",2026-01-31T14:19:25.398795
Victoria Arlen,Valentin Chmerkovskiy,25,KCohTdXzDaE,'DWTS' Contestant Victoria and Partner Val Take Center Stage,TheEllenShow,137202,2374,82,2017-10-02T13:00:01Z,False,25,"""Victoria Arlen""",2026-01-31T14:19:25.400114
Vanessa Lachey,Maksim Chmerkoskiy,25,1meS8n7e84U,Vanessa Lachey and Alan's Jazz (Week 03) - Dancing with the Stars Season 25!,DWTS DANCES,4630,35,2,2022-08-11T16:58:49Z,False,35,"""Vanessa Lachey""",2026-01-31T14:19:28.529093
Vanessa Lachey,Maksim Chmerkoskiy,25,r5oU2diAVV8,Vanessa Lachey and Maks's Salsa (Week 02( - Dancing with the Stars Season 25!,DWTS DANCES,4683,35,3,2022-08-11T16:58:41Z,False,35,"""Vanessa Lachey""",2026-01-31T14:19:28.529093
Vanessa Lachey,Maksim Chmerkoskiy,25,0vHj1mhBqCA,Vanessa Lachey and Maks's Cha Cha (Week 01) - Dancing with the Stars Season 25!,DWTS DANCES,4613,34,3,2022-03-19T02:21:16Z,False,35,"""Vanessa Lachey""",2026-01-31T14:19:28.530480
Jamie Anderson,Artem Chigvintsev,26,vLq3txGih88,Jamie Anderson - Dancing With The Stars Performance,My Dear Journal,5950,35,2,2018-05-01T17:33:32Z,False,35,"""Jamie Anderson""",2026-01-31T14:19:29.059379
Jennie Finch Daigle,Keo Motsepe,26,67Tieue4txQ,'DWTS': Jennie Finch Daigle & Keo Motsepe Talk Making The Semi-Finals | Access,Access Hollywood,1723,6,2,2018-05-08T16:11:36Z,False,40,"""Jennie Finch Daigle""",2026-01-31T14:19:31.122798
Jennie Finch Daigle,Keo Motsepe,26,MjxhUmbBVOM,Jennie Finch Talks DWTS with Delanie Gourley,Softball Nation,1516,9,0,2018-05-04T08:11:36Z,False,25,"""Jennie Finch Daigle""",2026-01-31T14:19:31.124176
Jennie Finch Daigle,Keo Motsepe,26,yXAZoNqkvYM,'DWTS': Jennie Finch-Daigle Says She & Keo Motspe Are 'In It To Win It!' | Access,Access Hollywood,1955,11,0,2018-05-01T17:02:00Z,False,40,"""Jennie Finch Daigle""",2026-01-31T14:19:31.125390
Jennie Finch Daigle,Keo Motsepe,26,MhHDEcBuomc,Olympic Gold Medalist Jennie Finch-Daigle's Strategy to Win 'DWTS' Might Involve Her Kids (Exclus...,DIE NEWS,40,0,0,2018-05-05T08:44:14Z,False,25,"""Jennie Finch Daigle""",2026-01-31T14:19:31.125390
Jennie Finch Daigle,Keo Motsepe,26,kg9qU2TyNh0,"DWTS cast members Tonya, Jennie, Kareem, Mirai seen in costume",Dongo NEWS,1701,6,0,2018-04-13T18:46:24Z,False,25,"""Jennie Finch Daigle""",2026-01-31T14:19:31.126487
Jennie Finch Daigle,Keo Motsepe,26,DWjJw7_8hEo,"Damon, finch on dancing with the stars",T.S.F - News,26,0,0,2018-04-14T18:59:21Z,False,35,"""Jennie Finch Daigle""",2026-01-31T14:19:31.127489
Chris Mazdzer,Witney Carson,26,hJtA_JDyqBU,"Chris Mazdzer's ""Dancing with the Stars"" Journey",Team USA,7071,34,1,2018-05-14T21:22:25Z,False,35,"""Chris Mazdzer""",2026-01-31T14:19:31.654608
Chris Mazdzer,Witney Carson,26,34FSNEZb9GM,Chris Mazdzer and Witney Carson Salsa (Week 1) | Dancing With The Stars,Witsay Fan ,8280,70,1,2022-09-12T14:00:02Z,False,50,"""Chris Mazdzer""",2026-01-31T14:19:31.655948
Chris Mazdzer,Witney Carson,26,p-mq_qxT81E,Chris Mazdzer vs. Josh Norman Salsa Dance Off (Week 3) | Dancing With The Stars,Witsay Fan ,4388,32,3,2022-09-12T15:00:35Z,False,35,"""Chris Mazdzer""",2026-01-31T14:19:31.656951
Chris Mazdzer,Witney Carson,26,DzPoJLoAVeM,Chris Mazdzer and Witney Carson Viennese Waltz (Week 2) | Dancing With The Stars,Witsay Fan ,5318,53,2,2022-09-12T14:15:00Z,False,50,"""Chris Mazdzer""",2026-01-31T14:19:31.656951
